company_name,isin,symbol
3M India Ltd.,INE470A01017,3MINDIA.NS
Aarti Drugs Ltd,INE767A01016,AARTIDRUGS.NS
Aarti Industries Ltd,INE769A01020,AARTIIND.NS
Aavas Financiers Ltd,INE216P01012,AAVAS.NS
ABB India Ltd,INE117A01022,ABB.NS
ABB Power Products and Systems India,INE07Y701011,POWERINDIA.NS
ACC Ltd,INE012A01025,ACC.NS
Accelya Solutions India Ltd,INE793A01012,ACCELYA.NS
Adani Enterprises Ltd,INE423A01024,ADANIENT.NS
Adani Gas Ltd,INE399L01023,ATGL.NS
Adani Green Energy Ltd,INE364U01010,ADANIGREEN.NS
Adani Ports and Special Economic Zone,INE742F01042,ADANIPORTS.NS
Adani Power Ltd,INE814H01011,ADANIPOWER.NS
Adani Transmission Ltd,INE931S01010,ADANITRANS.NS
Aditya Birla Capital Ltd,INE674K01013,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd,INE647O01011,ABFRL.NS
Advanced Enzyme Technologies Ltd,INE837H01020,ADVENZYMES.NS
Aegis Logistics Ltd,INE208C01025,AEGISCHEM.NS
Affle India Ltd,INE00WC01019,AFFLE.NS
Ahluwalia Contracts (India),INE758C01029,AHLUCONT.NS
AIA Engineering Ltd,INE212H01026,AIAENG.NS
Ajanta Pharma Ltd,INE031B01049,AJANTPHARM.NS
Akzo Nobel India Ltd,INE133A01011,AKZOINDIA.NS
Alembic Pharmaceuticals Ltd,INE901L01018,APLLTD.NS
Alkem Laboratories Ltd,INE540L01014,ALKEM.NS
Alkyl Amines Chemicals Ltd,INE150B01021,ALKYLAMINE.NS
Allcargo Logistics Ltd,INE418H01029,ALLCARGO.NS
Amara Raja Batteries Ltd,INE885A01032,AMARAJABAT.NS
Amber Enterprises India Ltd,INE371P01015,AMBER.NS
Ambuja Cements Ltd.,INE079A01024,AMBUJACEM.NS
Apar Industries Ltd,INE372A01015,APARINDS.BO
APL Apollo Tubes Ltd,INE702C01019,APLAPOLLO.BO
Apollo Hospitals Enterprises Ltd.,INE437A01024,APOLLOHOSP.NS
Apollo Tyres Ltd,INE438A01022,APOLLOTYRE.NS
Arvind Fashions Ltd,INE955V01021,ARVINDFASN.NS
Asahi India Glass Ltd,INE439A01020,ASAHIINDIA.NS
Ashok Leyland Ltd.,INE208A01029,ASHOKLEY.NS
Ashoka Buildcon Ltd,INE442H01029,ASHOKA.NS
Asian Paints Ltd.,INE021A01026,ASIANPAINT.NS
Aster DM Healthcare Ltd,INE914M01019,ASTERDM.NS
Astral Poly Technik Ltd,INE006I01046,ASTRAL.NS
AstraZeneca Pharma India Ltd.,INE203A01020,ASTRAZEN.NS
Atul Ltd,INE100A01010,ATULAUTO.NS
AU Small Finance Bank Ltd,INE949L01017,AUBANK.NS
Aurobindo Pharma Ltd.,INE406A01037,AUROPHARMA.NS
Avanti Feeds Ltd,INE871C01038,AVANTIFEED.NS
Avenue Supermarts Ltd,INE192R01011,DMART.NS
AXIS Bank Ltd,INE238A01034,AXISBANK.NS
Bajaj Auto Ltd,INE917I01010,BAJAJ-AUTO.NS
Bajaj Consumer Care,INE933K01021,BAJAJCON.NS
Bajaj Electricals Ltd.,INE193E01025,BAJAJELEC.NS
Bajaj Finance Ltd,INE296A01024,BAJFINANCE.NS
Bajaj Finserv Ltd,INE918I01018,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd,INE118A01012,BAJAJHLDNG.BO
Balkrishna Industries Ltd.,INE787D01026,BALKRISIND.NS
Balmer Lawrie & Company,INE164A01016,BALMLAWRIE.NS
Balrampur Chini Mills Ltd.,INE119A01028,BALMLAWRIE.NS
Bandhan Bank Ltd,INE545U01014,BANDHANBNK.NS
Bank of Baroda Ltd,INE028A01039,BANKBARODA.NS
Bank of India Ltd,INE084A01016,BANKINDIA.NS
Bank of Maharashtra Ltd,INE457A01014,MAHABANK.NS
BASF India Ltd,INE373A01013,BASF.NS
Bata India Ltd,INE176A01028,BATAINDIA.NS
BEML Ltd,INE258A01016,BEML.NS
Berger Paints India Ltd,INE463A01038,BERGEPAINT.NS
Bharat Dynamics Ltd,INE171Z01018,BDL.NS
Bharat Electronics Ltd,INE263A01024,BEL.NS
Bharat Forge Ltd,INE465A01025,BHARATFORG.NS
Bharat Heavy Electricals Ltd.,INE257A01026,BHEL.NS
